team,elo_rating
Spain,2077.3815095871432
Argentina,2076.1967255377435
France,2030.2629396411774
Brazil,1992.95537739948
England,1985.20050347438
Colombia,1959.268648416706
Japan,1938.1194391772515
Netherlands,1929.0520903734455
Portugal,1927.9376290866398
Ecuador,1921.7031970447272
Germany,1910.8185393093786
Morocco,1907.1049239603094
Uruguay,1901.7640685174522
Belgium,1896.0733367914447
Croatia,1892.0146951047402
Mexico,1871.665590268375
Iran,1870.161967346641
Switzerland,1861.8639303139464
South Korea,1858.9177908988809
Senegal,1857.7684578973374
Australia,1856.222922011366
Canada,1829.3557368835816
Turkey,1827.6755792250292
Italy,1825.4967040481818
Norway,1821.9733907595844
Paraguay,1821.7194650165263
Denmark,1821.1794685429124
Algeria,1817.931352518018
Uzbekistan,1792.282779627846
Austria,1786.4578659026922
United States,1782.5384872297602
Panama,1781.974821570505
Nigeria,1776.1584400715187
Ukraine,1768.3146745037857
Russia,1767.9803204873087
Egypt,1766.7072060838282
Ivory Coast,1761.5090128925008
Tunisia,1760.9727948955474
Jersey,1755.355044856174
Jordan,1734.6765653823952
New Zealand,1734.1400716563342
Iraq,1733.5253543057745
Scotland,1726.4141143561044
Venezuela,1724.5966132155002
Guernsey,1719.6837978038684
Serbia,1719.255708999467
Costa Rica,1719.215240097462
Chile,1717.5701959511234
DR Congo,1712.56624409561
Poland,1710.6634713377566
Peru,1704.9786997780018
Czech Republic,1698.327812013369
Mali,1695.5946632093621
Greece,1690.958115661157
Wales,1688.326313221572
Cameroon,1687.4649214428132
Sweden,1682.4973408860965
Hungary,1681.4203507283476
Saudi Arabia,1676.0976661121574
Haiti,1673.1801433516903
Bolivia,1669.6933550860786
Republic of Ireland,1667.2541591163633
United Arab Emirates,1664.1515568308075
Burkina Faso,1661.4652920753576
Isle of Man,1659.512229717762
Slovakia,1656.8417809966456
Padania,1655.2117811604628
Jamaica,1651.0039686573716
Ghana,1649.7575067845034
Honduras,1649.0825254122171
Slovenia,1648.5640264079198
Cape Verde,1648.0848221002248
