team,qualified,champion
Argentina,92.0,15.6
Spain,91.2,11.9
France,90.1,10.5
England,86.3,7.3
Colombia,84.2,6.7
Brazil,89.1,5.2
Croatia,82.1,4.0
Portugal,77.0,4.0
Japan,84.8,3.2
Ecuador,89.9,2.9
Netherlands,79.5,2.6
Uruguay,82.2,2.6
Germany,87.1,2.5
Belgium,78.5,2.1
Morocco,83.5,1.9
Iran,79.2,1.7
South Korea,84.0,1.4
Senegal,69.0,1.3
Mexico,85.0,1.3
Switzerland,89.9,1.1
Algeria,65.6,1.0
Norway,60.8,0.9
Australia,72.4,0.8
Paraguay,67.9,0.8
Canada,84.5,0.7
Panama,59.8,0.6
Egypt,60.1,0.5
Ivory Coast,74.0,0.5
Uzbekistan,57.3,0.5
Turkey,71.8,0.5
United States,57.6,0.4
Austria,56.2,0.4
DR Congo,48.4,0.3
Tunisia,57.8,0.3
Jordan,49.7,0.3
New Zealand,51.0,0.2
Haiti,42.0,0.2
Sweden,45.1,0.2
Czech Republic,58.8,0.2
Iraq,47.1,0.2
Ghana,38.4,0.2
Bosnia and Herzegovina,45.1,0.1
Scotland,51.4,0.1
Cape Verde,42.0,0.1
Saudi Arabia,47.4,0.1
Qatar,45.7,0.0
South Africa,38.9,0.0
Curacao,18.6,0.0
